date,label,artist,actual_name,monthly_listeners,url
2024-04-29,HYBE,ENHYPEN,,9210000.0,
2024-04-29,HYBE,ILLIT,,16640000.0,
2024-04-29,HYBE,Jungkook,,25990000.0,
2024-04-29,HYBE,LE SSERAFIM,,15860000.0,
2024-04-29,HYBE,NewJeans,,16610000.0,
2024-04-29,HYBE,SEVENTEEN,,6370000.0,
2024-04-29,HYBE,TXT,,10760000.0,
2024-04-29,JYP,NMIXX,,4690000.0,
2024-04-29,JYP,Stray Kids,,8240000.0,
2024-04-29,JYP,TWICE,,11450000.0,
2024-04-29,SM,NCT 127,,3740000.0,
2024-04-29,SM,NCT DREAM,,5400000.0,
2024-04-29,SM,RIIZE,,4220000.0,
2024-04-29,SM,aespa,,8420000.0,
2024-04-29,YG,BABYMONSTER,,9430000.0,
2024-04-29,YG,TREASURE,,2670000.0,
2024-05-06,HYBE,BOYNEXTDOOR,,2270000.0,
2024-05-06,HYBE,BTS,,27760000.0,
2024-05-06,HYBE,ENHYPEN,,9080000.0,
2024-05-06,HYBE,ILLIT,,17770000.0,
2024-05-06,HYBE,Jungkook,,25240000.0,
2024-05-06,HYBE,LE SSERAFIM,,15670000.0,
2024-05-06,HYBE,NewJeans,,16560000.0,
2024-05-06,HYBE,SEVENTEEN,,6920000.0,
2024-05-06,HYBE,TXT,,10710000.0,
2024-05-06,JYP,NMIXX,,4700000.0,
2024-05-06,JYP,Stray Kids,,8150000.0,
2024-05-06,JYP,TWICE,,11300000.0,
2024-05-06,SM,NCT 127,,3750000.0,
2024-05-06,SM,NCT DREAM,,5430000.0,
2024-05-06,SM,RIIZE,,4530000.0,
2024-05-06,SM,aespa,,8340000.0,
2024-05-06,YG,BABYMONSTER,,10070000.0,
2024-05-06,YG,TREASURE,,2680000.0,
2024-05-13,HYBE,BOYNEXTDOOR,,2470000.0,
2024-05-13,HYBE,BTS,,27720000.0,
2024-05-13,HYBE,ENHYPEN,,9090000.0,
2024-05-13,HYBE,ILLIT,,17800000.0,
2024-05-13,HYBE,Jungkook,,24630000.0,
2024-05-13,HYBE,LE SSERAFIM,,15440000.0,
2024-05-13,HYBE,NewJeans,,16410000.0,
2024-05-13,HYBE,SEVENTEEN,,7280000.0,
2024-05-13,HYBE,TXT,,10380000.0,
2024-05-13,JYP,NMIXX,,4480000.0,
2024-05-13,JYP,Stray Kids,,8500000.0,
2024-05-13,JYP,TWICE,,11040000.0,
2024-05-13,SM,NCT 127,,3580000.0,
2024-05-13,SM,NCT DREAM,,5140000.0,
2024-05-13,SM,RIIZE,,4620000.0,
2024-05-13,SM,aespa,,8760000.0,
2024-05-13,YG,BABYMONSTER,,10030000.0,
2024-05-13,YG,TREASURE,,2700000.0,
2024-05-20,HYBE,BOYNEXTDOOR,,2560000.0,
2024-05-20,HYBE,BTS,,27570000.0,
2024-05-20,HYBE,ENHYPEN,,9250000.0,
2024-05-20,HYBE,ILLIT,,17160000.0,
2024-05-20,HYBE,Jungkook,,24000000.0,
2024-05-20,HYBE,LE SSERAFIM,,15000000.0,
2024-05-20,HYBE,NewJeans,,16330000.0,
2024-05-20,HYBE,SEVENTEEN,,7580000.0,
2024-05-20,HYBE,TXT,,10020000.0,
2024-05-20,JYP,NMIXX,,4340000.0,
2024-05-20,JYP,Stray Kids,,9760000.0,
2024-05-20,JYP,TWICE,,10870000.0,
2024-05-20,SM,NCT 127,,3440000.0,
2024-05-20,SM,NCT DREAM,,5020000.0,
2024-05-20,SM,RIIZE,,4660000.0,
2024-05-20,SM,aespa,,9500000.0,
2024-05-20,YG,BABYMONSTER,,10000000.0,
2024-05-20,YG,TREASURE,,2690000.0,
2024-05-27,HYBE,BOYNEXTDOOR,,2420000.0,
2024-05-27,HYBE,BTS,,27440000.0,
2024-05-27,HYBE,ENHYPEN,,9360000.0,
2024-05-27,HYBE,ILLIT,,16480000.0,
2024-05-27,HYBE,Jungkook,,23540000.0,
2024-05-27,HYBE,LE SSERAFIM,,14570000.0,
2024-05-27,HYBE,NewJeans,,16470000.0,
2024-05-27,HYBE,SEVENTEEN,,7730000.0,
2024-05-27,HYBE,TXT,,9630000.0,
2024-05-27,JYP,NMIXX,,4260000.0,
2024-05-27,JYP,Stray Kids,,10310000.0,
2024-05-27,JYP,TWICE,,10640000.0,
2024-05-27,SM,NCT 127,,3270000.0,
2024-05-27,SM,NCT DREAM,,4760000.0,
2024-05-27,SM,RIIZE,,4510000.0,
2024-05-27,SM,aespa,,10670000.0,
2024-05-27,YG,BABYMONSTER,,9850000.0,
2024-05-27,YG,TREASURE,,2680000.0,
2024-06-03,HYBE,BOYNEXTDOOR,,2240000.0,
2024-06-03,HYBE,BTS,,27390000.0,
2024-06-03,HYBE,ENHYPEN,,9300000.0,
2024-06-03,HYBE,ILLIT,,16080000.0,
2024-06-03,HYBE,Jungkook,,22960000.0,
2024-06-03,HYBE,LE SSERAFIM,,13990000.0,
2024-06-03,HYBE,NewJeans,,17160000.0,
2024-06-03,HYBE,SEVENTEEN,,7570000.0,
2024-06-03,HYBE,TXT,,9280000.0,
2024-06-03,JYP,NMIXX,,4190000.0,
2024-06-03,JYP,Stray Kids,,10670000.0,
2024-06-03,JYP,TWICE,,10370000.0,
2024-06-03,SM,NCT 127,,3190000.0,
2024-06-03,SM,NCT DREAM,,4630000.0,
2024-06-03,SM,RIIZE,,4230000.0,
2024-06-03,SM,aespa,,11930000.0,
2024-06-03,YG,BABYMONSTER,,9820000.0,
2024-06-03,YG,TREASURE,,2780000.0,
2024-06-10,HYBE,BOYNEXTDOOR,,2120000.0,
2024-06-10,HYBE,BTS,,27530000.0,
2024-06-10,HYBE,ENHYPEN,,9040000.0,
2024-06-10,HYBE,ILLIT,,15870000.0,
2024-06-10,HYBE,Jungkook,,22920000.0,
2024-06-10,HYBE,LE SSERAFIM,,13410000.0,
2024-06-10,HYBE,NewJeans,,17600000.0,
2024-06-10,HYBE,SEVENTEEN,,7310000.0,
2024-06-10,HYBE,TXT,,9100000.0,
2024-06-10,JYP,NMIXX,,4110000.0,
2024-06-10,JYP,Stray Kids,,10640000.0,
2024-06-10,JYP,TWICE,,10120000.0,
2024-06-10,SM,NCT 127,,3180000.0,
2024-06-10,SM,NCT DREAM,,4410000.0,
2024-06-10,SM,RIIZE,,3970000.0,
2024-06-10,SM,aespa,,13000000.0,
2024-06-10,YG,BABYMONSTER,,9950000.0,
2024-06-10,YG,TREASURE,,2990000.0,
2024-06-17,HYBE,BOYNEXTDOOR,,2030000.0,
2024-06-17,HYBE,BTS,,27710000.0,
2024-06-17,HYBE,ENHYPEN,,8610000.0,
2024-06-17,HYBE,ILLIT,,15580000.0,
2024-06-17,HYBE,Jungkook,,23430000.0,
2024-06-17,HYBE,LE SSERAFIM,,12900000.0,
2024-06-17,HYBE,NewJeans,,17830000.0,
2024-06-17,HYBE,SEVENTEEN,,7030000.0,
2024-06-17,HYBE,TXT,,8910000.0,
2024-06-17,JYP,NMIXX,,4020000.0,
2024-06-17,JYP,Stray Kids,,9690000.0,
2024-06-17,JYP,TWICE,,9880000.0,
2024-06-17,SM,NCT 127,,3160000.0,
2024-06-17,SM,NCT DREAM,,4170000.0,
2024-06-17,SM,RIIZE,,3750000.0,
2024-06-17,SM,aespa,,13490000.0,
2024-06-17,YG,BABYMONSTER,,9970000.0,
2024-06-17,YG,TREASURE,,3100000.0,
2024-06-24,HYBE,BOYNEXTDOOR,,1980000.0,
2024-06-24,HYBE,BTS,,27970000.0,
2024-06-24,HYBE,ENHYPEN,,8210000.0,
2024-06-24,HYBE,ILLIT,,15290000.0,
2024-06-24,HYBE,Jungkook,,23540000.0,
2024-06-24,HYBE,LE SSERAFIM,,12430000.0,
